fecha,ticker_yahoo,empresa,precio_cierre,volumen,sma_50,sma_200
2021-03-12,^IBEX,IBEX 35,8644.5,149113500,8644.5,8644.5
2021-03-15,^IBEX,IBEX 35,8635.4004,210887200,8639.9502,8639.9502
2021-03-16,^IBEX,IBEX 35,8657.7002,209943700,8645.86686667,8645.86686667
2021-03-17,^IBEX,IBEX 35,8599.5,173237000,8634.27515,8634.27515
2021-03-18,^IBEX,IBEX 35,8624.5996,237338400,8632.34004,8632.34004
2021-03-19,^IBEX,IBEX 35,8493.0,375052600,8609.1167,8609.1167
2021-03-22,^IBEX,IBEX 35,8343.5,229082300,8571.17145714,8571.17145714
2021-03-23,^IBEX,IBEX 35,8390.2998,203402800,8548.5625,8548.5625
2021-03-24,^IBEX,IBEX 35,8443.7002,187924600,8536.91113333,8536.91113333
2021-03-25,^IBEX,IBEX 35,8409.5,161359200,8524.17002,8524.17002
2021-03-26,^IBEX,IBEX 35,8498.2002,233895700,8521.80912727,8521.80912727
2021-03-29,^IBEX,IBEX 35,8492.0996,177594200,8519.33333333,8519.33333333
2021-03-30,^IBEX,IBEX 35,8595.2002,171860100,8525.16924615,8525.16924615
2021-03-31,^IBEX,IBEX 35,8580.0,265542300,8529.08572857,8529.08572857
2021-04-01,^IBEX,IBEX 35,8577.5996,150979000,8532.31998667,8532.31998667
2021-04-05,^IBEX,IBEX 35,8577.5996,150979000,8535.1499625,8535.1499625
2021-04-06,^IBEX,IBEX 35,8634.5996,201717300,8540.99994118,8540.99994118
2021-04-07,^IBEX,IBEX 35,8597.4004,137394800,8544.1333,8544.1333
2021-04-08,^IBEX,IBEX 35,8637.7998,165761800,8549.06311579,8549.06311579
2021-04-09,^IBEX,IBEX 35,8565.7998,133458400,8549.89995,8549.89995
2021-04-12,^IBEX,IBEX 35,8532.5996,131409400,8549.07612381,8549.07612381
2021-04-13,^IBEX,IBEX 35,8525.0996,152574000,8547.98628182,8547.98628182
2021-04-14,^IBEX,IBEX 35,8588.4004,133519000,8549.74341739,8549.74341739
2021-04-15,^IBEX,IBEX 35,8571.5996,146073800,8550.65409167,8550.65409167
2021-04-16,^IBEX,IBEX 35,8613.5,176861600,8553.167928,8553.167928
2021-04-19,^IBEX,IBEX 35,8711.4004,171375300,8559.25379231,8559.25379231
2021-04-20,^IBEX,IBEX 35,8459.4004,214621600,8555.55551852,8555.55551852
2021-04-21,^IBEX,IBEX 35,8519.7998,175189200,8554.27852857,8554.27852857
2021-04-22,^IBEX,IBEX 35,8656.7998,136381300,8557.81374483,8557.81374483
2021-04-23,^IBEX,IBEX 35,8618.5996,118119300,8559.83994,8559.83994
2021-04-26,^IBEX,IBEX 35,8701.9004,162998200,8564.42253548,8564.42253548
2021-04-27,^IBEX,IBEX 35,8756.7002,183162900,8570.4312125,8570.4312125
2021-04-28,^IBEX,IBEX 35,8799.5996,218196700,8577.37570909,8577.37570909
2021-04-29,^IBEX,IBEX 35,8823.2002,261774400,8584.60584118,8584.60584118
2021-04-30,^IBEX,IBEX 35,8815.0,267612000,8591.18853143,8591.18853143
2021-05-03,^IBEX,IBEX 35,8893.7002,150399700,8599.59163333,8599.59163333
2021-05-04,^IBEX,IBEX 35,8830.4004,231895800,8605.82970811,8605.82970811
2021-05-05,^IBEX,IBEX 35,8967.7998,180443400,8615.35523684,8615.35523684
2021-05-06,^IBEX,IBEX 35,8982.2002,188334200,8624.76151795,8624.76151795
2021-05-07,^IBEX,IBEX 35,9059.2002,191889900,8635.622485,8635.622485
2021-05-10,^IBEX,IBEX 35,9144.2998,237075400,8648.02924878,8648.02924878
2021-05-11,^IBEX,IBEX 35,8987.2002,232088700,8656.10474762,8656.10474762
2021-05-12,^IBEX,IBEX 35,9007.7002,195759200,8664.28138605,8664.28138605
2021-05-13,^IBEX,IBEX 35,8966.2002,173524400,8671.14317727,8671.14317727
2021-05-14,^IBEX,IBEX 35,9145.5996,161364300,8681.68665333,8681.68665333
2021-05-17,^IBEX,IBEX 35,9155.5996,164174400,8691.9891087,8691.9891087
2021-05-18,^IBEX,IBEX 35,9183.9004,176037400,8702.45530638,8702.45530638
2021-05-19,^IBEX,IBEX 35,9070.7002,200253900,8710.127075,8710.127075
2021-05-20,^IBEX,IBEX 35,9124.2998,138305200,8718.57957959,8718.57957959
2021-05-21,^IBEX,IBEX 35,9204.0,175406200,8728.287988,8728.287988
2021-05-24,^IBEX,IBEX 35,9205.5,91842700,8739.507988,8737.64508627
2021-05-25,^IBEX,IBEX 35,9208.7002,147285300,8750.973984,8746.70383846
2021-05-26,^IBEX,IBEX 35,9196.9004,160831700,8761.757988,8755.19811321
2021-05-27,^IBEX,IBEX 35,9186.0996,325441300,8773.48998,8763.17777037
2021-05-28,^IBEX,IBEX 35,9224.5996,192320800,8785.48998,8771.56725818
2021-05-31,^IBEX,IBEX 35,9148.9004,102386400,8798.607988,8778.30535
2021-06-01,^IBEX,IBEX 35,9189.7002,143121400,8815.531992,8785.52280351
2021-06-02,^IBEX,IBEX 35,9180.7002,137506400,8831.34,8792.3362069
2021-06-03,^IBEX,IBEX 35,9142.4004,164216700,8845.314004,8798.26949831
2021-06-04,^IBEX,IBEX 35,9088.2998,131208100,8858.89,8803.10333667
2021-06-07,^IBEX,IBEX 35,9163.5996,129664800,8872.197988,8809.01311148
2021-06-08,^IBEX,IBEX 35,9153.5996,144263700,8885.427988,8814.57095806
2021-06-09,^IBEX,IBEX 35,9156.0996,124744700,8896.645976,8819.99204762
2021-06-10,^IBEX,IBEX 35,9133.7998,154773800,8907.721972,8824.89529375
2021-06-11,^IBEX,IBEX 35,9205.0,107059800,8920.26998,8830.74305846
2021-06-14,^IBEX,IBEX 35,9281.0996,135889000,8934.33998,8837.56664242
2021-06-15,^IBEX,IBEX 35,9230.7002,119439700,8946.261992,8843.43430746
2021-06-16,^IBEX,IBEX 35,9202.2002,161804400,8958.357988,8848.71027647
2021-06-17,^IBEX,IBEX 35,9195.9004,203696100,8969.52,8853.74201739
2021-06-18,^IBEX,IBEX 35,9030.5996,452775400,8978.815996,8856.26855429
2021-06-21,^IBEX,IBEX 35,9051.7002,167378300,8989.198008,8859.02111268
2021-06-22,^IBEX,IBEX 35,9053.2998,137668000,8999.762012,8861.71942778
2021-06-23,^IBEX,IBEX 35,8954.0996,112812200,9007.075996,8862.98490959
2021-06-24,^IBEX,IBEX 35,9074.0996,130938500,9017.125996,8865.83781081
2021-06-25,^IBEX,IBEX 35,9095.0,130343900,9026.755996,8868.89330667
2021-06-28,^IBEX,IBEX 35,8913.7002,152784500,9030.801992,8869.48287105
2021-06-29,^IBEX,IBEX 35,8915.0996,142239100,9039.915976,8870.0752961
2021-06-30,^IBEX,IBEX 35,8821.2002,190176400,9045.943984,8869.44869231
2021-07-01,^IBEX,IBEX 35,8932.2998,122723600,9051.453984,8870.24427595
2021-07-02,^IBEX,IBEX 35,8907.5996,115691700,9057.233984,8870.7112175
2021-07-05,^IBEX,IBEX 35,8946.4004,100801100,9062.123984,8871.64565185
2021-07-06,^IBEX,IBEX 35,8860.7998,152719800,9064.205976,8871.51338537
2021-07-07,^IBEX,IBEX 35,8854.5,149997700,9065.303984,8871.30840482
2021-07-08,^IBEX,IBEX 35,8650.0996,201968800,9061.841972,8868.67496667
2021-07-09,^IBEX,IBEX 35,8776.5996,141622900,9061.073964,8867.59172706
2021-07-12,^IBEX,IBEX 35,8816.7002,103461800,9059.533964,8866.99996512
2021-07-13,^IBEX,IBEX 35,8694.7998,133852800,9056.821952,8865.02065287
2021-07-14,^IBEX,IBEX 35,8658.2998,120506000,9050.631952,8862.67155227
2021-07-15,^IBEX,IBEX 35,8527.0,131271100,9041.527948,8858.8999618
2021-07-16,^IBEX,IBEX 35,8506.2002,147772600,9030.467948,8854.98107556
2021-07-19,^IBEX,IBEX 35,8301.7002,212387300,9013.615956,8848.90106593
2021-07-20,^IBEX,IBEX 35,8358.0,155554100,9001.031952,8843.56518478
2021-07-21,^IBEX,IBEX 35,8567.0,160923000,8992.217948,8840.59136559
2021-07-22,^IBEX,IBEX 35,8621.7998,140853100,8985.32994,8838.26379574
2021-07-23,^IBEX,IBEX 35,8717.2002,123289800,8976.761952,8836.98944211
2021-07-26,^IBEX,IBEX 35,8775.2002,136517300,8969.153964,8836.34580417
2021-07-27,^IBEX,IBEX 35,8699.2002,131607900,8959.45996,8834.93193196
2021-07-28,^IBEX,IBEX 35,8733.7002,153261800,8952.71996,8833.8989551
2021-07-29,^IBEX,IBEX 35,8786.2998,188717200,8945.95996,8833.41815556
2021-07-30,^IBEX,IBEX 35,8675.7002,203148300,8935.393964,8831.840976
2021-08-02,^IBEX,IBEX 35,8758.7002,140846000,8926.457968,8831.1168099
2021-08-03,^IBEX,IBEX 35,8772.7998,131903900,8917.73996,8830.54507451
2021-08-04,^IBEX,IBEX 35,8792.9004,117417500,8909.65996,8830.17959223
2021-08-05,^IBEX,IBEX 35,8836.5,108944800,8902.667968,8830.24036538
2021-08-06,^IBEX,IBEX 35,8879.0,139018600,8895.755976,8830.70474286
2021-08-09,^IBEX,IBEX 35,8865.9004,102353900,8890.095976,8831.03677736
2021-08-10,^IBEX,IBEX 35,8899.0,106389600,8884.281972,8831.67194766
2021-08-11,^IBEX,IBEX 35,8975.7998,112210300,8880.183964,8833.00646481
2021-08-12,^IBEX,IBEX 35,8979.4004,98153900,8876.923964,8834.34952844
2021-08-13,^IBEX,IBEX 35,8999.7998,90564900,8875.153964,8835.85362182
2021-08-16,^IBEX,IBEX 35,8926.5996,96313400,8870.413964,8836.67115315
2021-08-17,^IBEX,IBEX 35,8865.7002,128850900,8864.655976,8836.93034107
2021-08-18,^IBEX,IBEX 35,8970.2002,112288100,8860.937988,8838.10972035
2021-08-19,^IBEX,IBEX 35,8902.2002,137588100,8856.305996,8838.67191754
2021-08-20,^IBEX,IBEX 35,8915.2998,126918700,8850.511992,8839.33824696
2021-08-23,^IBEX,IBEX 35,8968.0996,91085100,8844.251992,8840.44825862
2021-08-24,^IBEX,IBEX 35,8948.5996,101636400,8838.60998,8841.37262906
2021-08-25,^IBEX,IBEX 35,8977.4004,128024000,8834.113984,8842.52540678
2021-08-26,^IBEX,IBEX 35,8892.7002,101735300,8828.04998,8842.9470437
2021-08-27,^IBEX,IBEX 35,8922.2002,74733200,8825.881992,8843.60748667
2021-08-30,^IBEX,IBEX 35,8867.9004,54118400,8822.205996,8843.80825455
2021-08-31,^IBEX,IBEX 35,8846.5996,185163000,8818.071992,8843.83113443
2021-09-01,^IBEX,IBEX 35,8991.5,132646000,8818.82,8845.03169431
2021-09-02,^IBEX,IBEX 35,8981.4004,100427500,8816.966016,8846.13144194
2021-09-03,^IBEX,IBEX 35,8864.0,139726800,8812.346016,8846.2743904
2021-09-06,^IBEX,IBEX 35,8882.2998,67762300,8811.718008,8846.56030635
2021-09-07,^IBEX,IBEX 35,8894.5,114239200,8811.306016,8846.93778425
2021-09-08,^IBEX,IBEX 35,8838.7002,155622500,8811.656016,8846.87342813
2021-09-09,^IBEX,IBEX 35,8800.5996,149890500,8809.022012,8846.51471628
2021-09-10,^IBEX,IBEX 35,8695.2998,139696400,8804.776016,8845.35152462
2021-09-13,^IBEX,IBEX 35,8816.0996,115679900,8802.17,8845.12822748
2021-09-14,^IBEX,IBEX 35,8780.0,128773000,8800.554004,8844.63483182
2021-09-15,^IBEX,IBEX 35,8635.4004,178101000,8796.172012,8843.0616406
2021-09-16,^IBEX,IBEX 35,8733.7002,186043200,8797.844024,8842.24551045
2021-09-17,^IBEX,IBEX 35,8760.9004,588035300,8797.53004,8841.64295407
2021-09-20,^IBEX,IBEX 35,8655.4004,277154700,8794.304044,8840.27352353
2021-09-21,^IBEX,IBEX 35,8756.0,194808200,8795.528048,8839.65838832
2021-09-22,^IBEX,IBEX 35,8808.4004,173512900,8798.53006,8839.43188116
2021-09-23,^IBEX,IBEX 35,8876.9004,151032900,8805.528068,8839.70143885
2021-09-24,^IBEX,IBEX 35,8873.0996,140557900,8812.866056,8839.93999714
2021-09-27,^IBEX,IBEX 35,9002.9004,203426300,8826.89006,8841.09574468
2021-09-28,^IBEX,IBEX 35,8769.4004,207454000,8835.118068,8840.59084789
2021-09-29,^IBEX,IBEX 35,8879.4004,178659800,8841.366076,8840.86224336
2021-09-30,^IBEX,IBEX 35,8796.2998,195050400,8844.856076,8840.55278194
2021-10-01,^IBEX,IBEX 35,8799.5,182239800,8846.502072,8840.26965931
2021-10-04,^IBEX,IBEX 35,8791.7002,149564600,8846.832072,8839.93699178
2021-10-05,^IBEX,IBEX 35,8927.4004,169714200,8851.396076,8840.53198095
2021-10-06,^IBEX,IBEX 35,8775.0,183948100,8852.222072,8840.0891973
2021-10-07,^IBEX,IBEX 35,8962.7998,201215200,8855.752072,8840.91275839
2021-10-08,^IBEX,IBEX 35,8955.0,141240900,8861.338068,8841.67334
2021-10-11,^IBEX,IBEX 35,8899.0,125070900,8864.144064,8842.05298675
2021-10-12,^IBEX,IBEX 35,8935.9004,163366100,8867.406076,8842.67040395
2021-10-13,^IBEX,IBEX 35,8881.4004,191875300,8869.176076,8842.92354118
2021-10-14,^IBEX,IBEX 35,8925.0,155212800,8870.946076,8843.45650519
2021-10-15,^IBEX,IBEX 35,8997.0,217374300,8873.306076,8844.44710839
2021-10-18,^IBEX,IBEX 35,8936.0,139680500,8874.708068,8845.0339859
2021-10-19,^IBEX,IBEX 35,8996.2998,160869900,8876.654064,8845.99746242
2021-10-20,^IBEX,IBEX 35,9017.9004,160127000,8877.496076,8847.0854557
2021-10-21,^IBEX,IBEX 35,8944.2998,153309300,8876.794064,8847.69686667
2021-10-22,^IBEX,IBEX 35,8906.4004,134363800,8874.926076,8848.06376375
2021-10-25,^IBEX,IBEX 35,8920.9004,159716400,8874.812092,8848.51616522
2021-10-26,^IBEX,IBEX 35,9001.5996,137320700,8877.53008,8849.46112469
2021-10-27,^IBEX,IBEX 35,8972.2998,167907900,8877.572072,8850.2147362
2021-10-28,^IBEX,IBEX 35,9025.7998,180332000,8880.044064,8851.28537683
2021-10-29,^IBEX,IBEX 35,9057.7002,228787400,8882.892072,8852.53637576
2021-11-01,^IBEX,IBEX 35,9182.5996,164893900,8887.182072,8854.52470843
2021-11-02,^IBEX,IBEX 35,9105.7002,130170200,8890.324084,8856.02875329
2021-11-03,^IBEX,IBEX 35,9030.7998,162875200,8891.392072,8857.06905714
2021-11-04,^IBEX,IBEX 35,9039.4004,221406600,8894.326076,8858.14794083
2021-11-05,^IBEX,IBEX 35,9130.5996,193267200,8898.494064,8859.75059765
2021-11-08,^IBEX,IBEX 35,9070.7998,135353600,8902.552052,8860.98480351
