Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
Acciona,ACS,0.320843536037702,Construcción,Construcción
Acciona Energía,ACS,0.23114380031563853,Energías Renovables,Construcción
Acerinox,ACS,0.4151832582891899,"Mineral, Metales Y Transformación",Construcción
Aena,ACS,0.4068080813217375,Transporte Y Distribución,Construcción
Amadeus IT Group,ACS,0.3998044367082413,Electrónica Y Software,Construcción
ArcelorMittal,ACS,0.4421956815349896,"Mineral, Metales Y Transformación",Construcción
BBVA,ACS,0.458444270763261,Bancos Y Cajas De Ahorro,Construcción
Banco Sabadell,ACS,0.3841017636829147,Bancos Y Cajas De Ahorro,Construcción
Bankinter,ACS,0.4035954758704395,Bancos Y Cajas De Ahorro,Construcción
CaixaBank,ACS,0.40985717262610444,Bancos Y Cajas De Ahorro,Construcción
Cellnex Telecom,ACS,0.172335734584507,Telecomunicaciones Y Otros,Construcción
Enagás,ACS,0.21601699925363366,Electricidad Y Gas,Construcción
Endesa,ACS,0.2987021379266062,Electricidad Y Gas,Construcción
Ferrovial,ACS,0.5804544094215536,Construcción,Construcción
Fluidra,ACS,0.3101993493082736,Ingeniería Y Otros,Construcción
Grifols,ACS,0.15277307701021983,Productos Farmacéuticos Y Biotecnología,Construcción
Iberdrola,ACS,0.29493891567332325,Electricidad Y Gas,Construcción
Inditex,ACS,0.4125046075060076,"Textil, Vestido Y Calzado",Construcción
Indra,ACS,0.3315742712135838,Electrónica Y Software,Construcción
Inmobiliaria Colonial,ACS,0.36350423732200315,Socimi,Construcción
International Airlines Group,ACS,0.4484973186624631,Transporte Y Distribución,Construcción
Laboratorios Rovi,ACS,0.1714989707147922,Productos Farmacéuticos Y Biotecnología,Construcción
Logista,ACS,0.2862249654247684,Transporte Y Distribución,Construcción
MAPFRE,ACS,0.4403568259281136,Seguros,Construcción
Meliá Hotels International,ACS,0.4154195488685836,"Ocio, Turismo Y Hostelería",Construcción
Merlin Properties,ACS,0.3989375453604893,Socimi,Construcción
Naturgy,ACS,0.24776307048898347,Electricidad Y Gas,Construcción
Redeia,ACS,0.1501136998891229,Electricidad Y Gas,Construcción
Repsol,ACS,0.2669652192265934,Petróleo,Construcción
Sacyr,ACS,0.5326960558871672,Construcción,Construcción
Santander,ACS,0.5201622812366143,Bancos Y Cajas De Ahorro,Construcción
Solaria,ACS,0.22154622528012927,Energías Renovables,Construcción
Telefónica,ACS,0.20199030499568044,Telecomunicaciones Y Otros,Construcción
Unicaja,ACS,0.3712926818898361,Bancos Y Cajas De Ahorro,Construcción
