Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
Acciona,ACS,0.3203640805124751,Construcción,Construcción
Acciona Energía,ACS,0.2316057662856972,Energías Renovables,Construcción
Acerinox,ACS,0.41444207519375226,"Mineral, Metales Y Transformación",Construcción
Aena,ACS,0.4066094968440558,Transporte Y Distribución,Construcción
Amadeus IT Group,ACS,0.3992166849462551,Electrónica Y Software,Construcción
ArcelorMittal,ACS,0.44072765863072805,"Mineral, Metales Y Transformación",Construcción
BBVA,ACS,0.45685683598836246,Bancos Y Cajas De Ahorro,Construcción
Banco Sabadell,ACS,0.3826335953917427,Bancos Y Cajas De Ahorro,Construcción
Bankinter,ACS,0.40211737470812914,Bancos Y Cajas De Ahorro,Construcción
CaixaBank,ACS,0.4085214367845224,Bancos Y Cajas De Ahorro,Construcción
Cellnex Telecom,ACS,0.17130492481792156,Telecomunicaciones Y Otros,Construcción
Enagás,ACS,0.21739841501329785,Electricidad Y Gas,Construcción
Endesa,ACS,0.30034884532717215,Electricidad Y Gas,Construcción
Ferrovial,ACS,0.5799353357878909,Construcción,Construcción
Fluidra,ACS,0.31039401526051275,Ingeniería Y Otros,Construcción
Grifols,ACS,0.15217396334622216,Productos Farmacéuticos Y Biotecnología,Construcción
Iberdrola,ACS,0.2967497852297815,Electricidad Y Gas,Construcción
Inditex,ACS,0.41254363295226515,"Textil, Vestido Y Calzado",Construcción
Indra,ACS,0.33097631693406043,Electrónica Y Software,Construcción
Inmobiliaria Colonial,ACS,0.3638624254419666,Socimi,Construcción
International Airlines Group,ACS,0.44744753266010195,Transporte Y Distribución,Construcción
Laboratorios Rovi,ACS,0.171658891963874,Productos Farmacéuticos Y Biotecnología,Construcción
Logista,ACS,0.28720708001532136,Transporte Y Distribución,Construcción
MAPFRE,ACS,0.43987105763099127,Seguros,Construcción
Meliá Hotels International,ACS,0.4174887004364503,"Ocio, Turismo Y Hostelería",Construcción
Merlin Properties,ACS,0.39866074920156297,Socimi,Construcción
Naturgy,ACS,0.24844714745832688,Electricidad Y Gas,Construcción
Redeia,ACS,0.15046329186625854,Electricidad Y Gas,Construcción
Repsol,ACS,0.2688495576025584,Petróleo,Construcción
Sacyr,ACS,0.5326287490546788,Construcción,Construcción
Santander,ACS,0.5192679632521531,Bancos Y Cajas De Ahorro,Construcción
Solaria,ACS,0.221492565715158,Energías Renovables,Construcción
Telefónica,ACS,0.20288619861505555,Telecomunicaciones Y Otros,Construcción
Unicaja,ACS,0.3696870759664727,Bancos Y Cajas De Ahorro,Construcción
ACS,Acciona,0.3203640805124751,Construcción,Construcción
Acciona Energía,Acciona,0.6960518981167187,Energías Renovables,Construcción
Acerinox,Acciona,0.2658971578012327,"Mineral, Metales Y Transformación",Construcción
Aena,Acciona,0.24816602270988947,Transporte Y Distribución,Construcción
Amadeus IT Group,Acciona,0.2662493426408046,Electrónica Y Software,Construcción
ArcelorMittal,Acciona,0.23235955824171026,"Mineral, Metales Y Transformación",Construcción
BBVA,Acciona,0.25153626473535057,Bancos Y Cajas De Ahorro,Construcción
Banco Sabadell,Acciona,0.15060099931906148,Bancos Y Cajas De Ahorro,Construcción
Bankinter,Acciona,0.16949710331527587,Bancos Y Cajas De Ahorro,Construcción
CaixaBank,Acciona,0.1925386999534438,Bancos Y Cajas De Ahorro,Construcción
Cellnex Telecom,Acciona,0.39528990115859935,Telecomunicaciones Y Otros,Construcción
Enagás,Acciona,0.4319310551526293,Electricidad Y Gas,Construcción
Endesa,Acciona,0.4793378757461483,Electricidad Y Gas,Construcción
Ferrovial,Acciona,0.3574513202066899,Construcción,Construcción
Fluidra,Acciona,0.281411787709917,Ingeniería Y Otros,Construcción
Grifols,Acciona,0.18217526587318486,Productos Farmacéuticos Y Biotecnología,Construcción
Iberdrola,Acciona,0.5425582491833555,Electricidad Y Gas,Construcción
Inditex,Acciona,0.239442358613289,"Textil, Vestido Y Calzado",Construcción
Indra,Acciona,0.1595288104708355,Electrónica Y Software,Construcción
Inmobiliaria Colonial,Acciona,0.4029779424698866,Socimi,Construcción
International Airlines Group,Acciona,0.19613976656636184,Transporte Y Distribución,Construcción
Laboratorios Rovi,Acciona,0.16396200315539675,Productos Farmacéuticos Y Biotecnología,Construcción
Logista,Acciona,0.239761665417026,Transporte Y Distribución,Construcción
MAPFRE,Acciona,0.28162732124474105,Seguros,Construcción
Meliá Hotels International,Acciona,0.21323350571775426,"Ocio, Turismo Y Hostelería",Construcción
Merlin Properties,Acciona,0.4030683047880463,Socimi,Construcción
Naturgy,Acciona,0.37968653482525855,Electricidad Y Gas,Construcción
Redeia,Acciona,0.44712773358077024,Electricidad Y Gas,Construcción
Repsol,Acciona,0.14805259777776064,Petróleo,Construcción
Sacyr,Acciona,0.4009220878602348,Construcción,Construcción
Santander,Acciona,0.2861856407142579,Bancos Y Cajas De Ahorro,Construcción
Solaria,Acciona,0.5638283138669509,Energías Renovables,Construcción
Telefónica,Acciona,0.2283543227901487,Telecomunicaciones Y Otros,Construcción
Unicaja,Acciona,0.18065878510532854,Bancos Y Cajas De Ahorro,Construcción
ACS,Acciona Energía,0.2316057662856972,Construcción,Energías Renovables
Acciona,Acciona Energía,0.6960518981167187,Construcción,Energías Renovables
Acerinox,Acciona Energía,0.18161343585331202,"Mineral, Metales Y Transformación",Energías Renovables
Aena,Acciona Energía,0.19449947239896873,Transporte Y Distribución,Energías Renovables
Amadeus IT Group,Acciona Energía,0.23085152726346275,Electrónica Y Software,Energías Renovables
